t_Android;t_unix;steps;a
126659823373537;1764844603770;23648.0;3
126660320503121;1764844604277;23648.0;3
126660817618485;1764844604768;23648.0;3
126661314723463;1764844605275;23648.0;3
126661811861743;1764844605763;23648.0;3
126662308993410;1764844606253;23648.0;3
126662806858358;1764844606749;23648.0;3
126663303245285;1764844607250;23648.0;3
126663800370910;1764844607746;23648.0;3
126664297511483;1764844608243;23648.0;3
126664794632837;1764844608747;23648.0;3
126665291762993;1764844609253;23648.0;3
126665788875545;1764844609735;23648.0;3
126666286750285;1764844610243;23648.0;3
126667280273826;1764844611241;23667.0;3
126667777390962;1764844611725;23667.0;3
126668274515128;1764844612222;23667.0;3
126668771644451;1764844612717;23667.0;3
126669268791639;1764844613214;23667.0;3
126669766644556;1764844613719;23667.0;3
126670263027733;1764844614215;23667.0;3
126670760167733;1764844614718;23667.0;3
126671257272472;1764844615216;23667.0;3
126671754399087;1764844615715;23667.0;3
126672251541274;1764844616197;23667.0;3
126672748673931;1764844616695;23667.0;3
126673246551378;1764844617190;23667.0;3
126673742934295;1764844617707;23667.0;3
126674240053097;1764844618189;23667.0;3
126674737175597;1764844618680;23667.0;3
126675234320128;1764844619180;23667.0;3
126675731438618;1764844619686;23667.0;3
126676228579295;1764844620187;23667.0;3
126676726522681;1764844620676;23687.0;3
126677222835128;1764844621171;23687.0;3
126677719962889;1764844621665;23687.0;3
126678217087368;1764844622164;23687.0;3
126678714213931;1764844622675;23687.0;3
126679211349503;1764844623172;23687.0;3
126679708478045;1764844623666;23687.0;3
126680206169556;1764844624161;23687.0;3
126680702735597;1764844624654;23687.0;3
126681199860962;1764844625149;23687.0;3
126681697210181;1764844625650;23687.0;3
126682194118670;1764844626146;23687.0;3
126682691250910;1764844626637;23687.0;3
126683188436951;1764844627134;23687.0;3
126683685530649;1764844627631;23687.0;3
126684182634868;1764844628128;23687.0;3
126684679771483;1764844628632;23687.0;3
126685674018826;1764844629638;23687.0;3
126686171153097;1764844630119;23687.0;3
126686668279660;1764844630634;23687.0;3
126687165408878;1764844631116;23706.0;3
126687662519608;1764844631605;23706.0;3
126688159664712;1764844632103;23706.0;3
126688657281795;1764844632601;23706.0;3
126689153915233;1764844633100;23706.0;3
126689651056535;1764844633608;23706.0;3
126690148180545;1764844634109;23706.0;3
126690645310649;1764844634596;23706.0;3
126691142434712;1764844635087;23706.0;3
126691639557837;1764844635601;23706.0;3
126692137193149;1764844636087;23706.0;3
126692633824660;1764844636585;23706.0;3
126693130961066;1764844637079;23706.0;3
126693628108045;1764844637570;23706.0;3
126694125213722;1764844638068;23706.0;3
126694622343774;1764844638567;23706.0;3
126695119485545;1764844639067;23706.0;3
126695617165181;1764844639562;23706.0;3
126696113768983;1764844640058;23706.0;3
126697108029139;1764844641061;23729.0;3
126697605833097;1764844641552;23729.0;3
126698599410806;1764844642557;23729.0;3
126699097054660;1764844643060;23729.0;3
126699593702524;1764844643561;23729.0;3
126700090828045;1764844644034;23729.0;3
