t_Android;t_unix;x;y;z;0;a
126927353592330;1764844871296;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927363511496;1764844871320;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927373472694;1764844871320;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927383394048;1764844871324;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927393352434;1764844871342;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927403282382;1764844871344;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927413249778;1764844871369;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927423191809;1764844871369;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927433112278;1764844871376;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927443062121;1764844871394;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927453019569;1764844871394;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927462941496;1764844871419;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927472892590;1764844871419;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927482830455;1764844871424;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927492786392;1764844871434;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927502717069;1764844871446;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927512664934;1764844871470;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927523047486;1764844871470;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927532544621;1764844871473;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927542481861;1764844871491;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927552463684;1764844871494;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927562376392;1764844871516;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927572320507;1764844871516;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927582247642;1764844871525;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927592198788;1764844871541;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927602141861;1764844871543;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927612949100;1764844871568;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927622035559;1764844871568;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927631973528;1764844871575;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927641917173;1764844871593;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927651874413;1764844871595;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927661821809;1764844871620;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927671737434;1764844871620;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927681683163;1764844871622;-0.2519894;0.17737842;-0.09767914;0.94630706;3
126927691628475;1764844871643;-0.2519894;0.17737842;-0.09767914;0.94630706;3
